chrom,start,end,tile_id,score,strand,GM12878,Jurkat,MRC5,A549,HEK293,K562,GM12878_active,Jurkat_active,MRC5_active,A549_active,HEK293_active,K562_active,ATAC_signal,GM12878_category,Jurkat_category,MRC5_category,A549_category,HEK293_category,K562_category
KT899744.1,1800,2000,Herpesvirus:Herpes_Simplex_1_KOS:37:+,0,+,1.8684156491357875,2.9006603897305765,2.1627060596513323,3.296176472695989,4.1469885667707,5.640032097706149,True,True,True,True,True,True,604.91205,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,1850,2050,Herpesvirus:Herpes_Simplex_1_KOS:38:+,0,+,2.0458805519626297,3.090729532745156,2.850792983541354,3.749034232330951,4.351839645386419,6.05252731190257,True,True,True,True,True,True,604.8806,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,1900,2100,Herpesvirus:Herpes_Simplex_1_KOS:39:+,0,+,4.530825268057854,4.282940287676966,6.079249464010973,5.884642125004112,5.512569577600823,6.169417367534611,True,True,True,True,True,True,579.87476,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,1950,2150,Herpesvirus:Herpes_Simplex_1_KOS:40:+,0,+,5.120737695118062,4.405369373377596,6.802816373386625,5.956595612372433,5.956757318183518,6.029652921072734,True,True,True,True,True,True,564.12445,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,2000,2200,Herpesvirus:Herpes_Simplex_1_KOS:41:+,0,+,3.686336306029296,3.0425846166407,4.576679708040985,4.276008302375716,2.9420211029096563,3.799460407958389,True,True,True,True,True,True,538.58514,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,2050,2250,Herpesvirus:Herpes_Simplex_1_KOS:42:+,0,+,1.5961799203977425,1.413755443954017,1.7276934009084737,1.730136197389628,1.10475806163825,1.1257813784593933,False,False,False,False,False,False,501.12335,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,2100,2300,Herpesvirus:Herpes_Simplex_1_KOS:43:+,0,+,1.6598575499074968,1.7150941972182507,1.4390292351927998,1.9385646525032625,2.509746848674204,1.7997071896382242,True,True,False,False,True,False,515.30493,Active only,Active only,Neither,Neither,Active only,Neither
KT899744.1,2150,2350,Herpesvirus:Herpes_Simplex_1_KOS:44:+,0,+,2.417825997875779,3.476682399942312,3.268830304054819,4.4919636313804086,2.921306639141364,3.584980264651708,True,True,True,True,True,True,607.17114,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,2200,2400,Herpesvirus:Herpes_Simplex_1_KOS:45:+,0,+,1.237199065823229,2.306767966394838,1.208912189197701,2.122821266798308,1.325889170353598,1.6594750378714909,False,True,False,True,False,False,647.4881,Neither,Active only,Neither,Active only,Neither,Neither
KT899744.1,2250,2450,Herpesvirus:Herpes_Simplex_1_KOS:46:+,0,+,1.9163242308562745,3.0545951851938726,2.3700502457409027,3.499275762158008,2.4450153623887902,3.8545818039984976,True,True,True,True,True,True,692.1348,Active & Accessible,Active & Accessible,Active & Accessible,Active & Accessible,Active & Accessible,Active & Accessible
KT899744.1,2300,2500,Herpesvirus:Herpes_Simplex_1_KOS:47:+,0,+,3.361459270375604,4.9345732680549785,4.895594383677747,5.902451546009668,3.7750291771843822,6.253867658444166,True,True,True,True,True,True,694.61346,Active & Accessible,Active & Accessible,Active & Accessible,Active & Accessible,Active & Accessible,Active & Accessible
KT899744.1,2350,2550,Herpesvirus:Herpes_Simplex_1_KOS:48:+,0,+,3.059842224553983,4.4796605944034935,3.999739130231875,4.878212385902787,2.6752132455871496,4.284405143171682,True,True,True,True,True,True,635.84784,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,2400,2600,Herpesvirus:Herpes_Simplex_1_KOS:49:+,0,+,1.4560117177872618,2.878520449810075,2.278006985956824,2.86953716543332,1.4955614864559474,2.7761398243022914,False,True,True,True,False,True,648.3351,Neither,Active only,Active only,Active only,Neither,Active only
KT899744.1,2450,2650,Herpesvirus:Herpes_Simplex_1_KOS:50:+,0,+,1.18610140595126,1.1261119272268854,1.3184033498033374,1.3622975150271857,0.91716427945054,1.0532349989111394,False,False,False,False,False,False,632.14557,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,2500,2700,Herpesvirus:Herpes_Simplex_1_KOS:51:+,0,+,1.2810637033908816,1.2165435715841248,1.2967518342616449,1.6062124713728951,1.552878792344974,1.6654203804346996,False,False,False,False,False,False,645.29175,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,2550,2750,Herpesvirus:Herpes_Simplex_1_KOS:52:+,0,+,1.7607481622874022,2.005599723630044,2.2517381659925,2.6557746763858354,3.4217389652369308,3.952850070416877,True,True,True,True,True,True,640.7737,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,2600,2800,Herpesvirus:Herpes_Simplex_1_KOS:53:+,0,+,2.8172159670396364,2.7554315893991226,3.980647372269634,3.967270411375956,5.813594767124931,3.998083161797996,True,True,True,True,True,True,611.53217,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,2650,2850,Herpesvirus:Herpes_Simplex_1_KOS:54:+,0,+,2.0152626211970723,1.807838343105378,2.2508907011555,2.914723043548604,3.528759272927976,2.670627262614212,True,True,True,True,True,True,582.2279,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,2700,2900,Herpesvirus:Herpes_Simplex_1_KOS:55:+,0,+,1.6264632693661034,1.589030112109496,1.214824278074539,1.6910877993411388,1.3434106411236764,1.3135986280546743,False,False,False,False,False,False,513.2967,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,2750,2950,Herpesvirus:Herpes_Simplex_1_KOS:56:+,0,+,1.4196439067949564,1.0211544582616676,1.403275612032779,1.4166816830703428,1.1840815525002752,1.413339799654892,False,False,False,False,False,False,439.00046,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,2800,3000,Herpesvirus:Herpes_Simplex_1_KOS:57:+,0,+,1.4782604194797762,1.5623075740241852,1.3259951150199791,1.9476071050763213,1.674188468368809,2.6117473778608287,False,False,False,False,False,True,363.91983,Neither,Neither,Neither,Neither,Neither,Active only
KT899744.1,2850,3050,Herpesvirus:Herpes_Simplex_1_KOS:58:+,0,+,2.302867059744613,2.945918403630733,2.4099604215060064,3.051119695320717,3.18165582768178,4.54566561170896,True,True,True,True,True,True,309.26437,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,2900,3100,Herpesvirus:Herpes_Simplex_1_KOS:59:+,0,+,3.55552273632307,3.3980558241724967,3.1726465006458247,3.828768639290991,4.280416977946867,5.952347759472208,True,True,True,True,True,True,292.4474,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,2950,3150,Herpesvirus:Herpes_Simplex_1_KOS:60:+,0,+,3.475341405566603,2.974401246611408,4.1004233920094535,4.713398843535364,5.540757626750154,6.7639574457977005,True,True,True,True,True,True,322.41064,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,3000,3200,Herpesvirus:Herpes_Simplex_1_KOS:61:+,0,+,3.7606611945579744,2.5330736038768418,4.436539729355002,4.261066212320105,4.997733438633714,6.796794941946025,True,True,True,True,True,True,376.1876,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,3050,3250,Herpesvirus:Herpes_Simplex_1_KOS:62:+,0,+,2.180374010197,1.9172564480182648,2.758430337991773,2.880041074234301,3.512615073356569,4.337645635126222,True,True,True,True,True,True,431.53333,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,3100,3300,Herpesvirus:Herpes_Simplex_1_KOS:63:+,0,+,1.842719661633509,2.1545079513577683,2.0609652570493124,2.6671263970721686,3.552022102275023,4.147379765450764,True,True,True,True,True,True,496.3857,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,3150,3350,Herpesvirus:Herpes_Simplex_1_KOS:64:+,0,+,1.5807376051973336,1.927556676768736,2.394423977655165,2.51332883580342,2.2811297686951693,3.710567725403811,False,True,True,True,True,True,537.8635,Neither,Active only,Active only,Active only,Active only,Active only
KT899744.1,3200,3400,Herpesvirus:Herpes_Simplex_1_KOS:65:+,0,+,1.2923737671804714,1.7590925859461897,1.3420301207749432,1.4863595564394276,1.2512770327389946,1.7930230589824494,False,True,False,False,False,False,564.8775,Neither,Active only,Neither,Neither,Neither,Neither
KT899744.1,3250,3450,Herpesvirus:Herpes_Simplex_1_KOS:66:+,0,+,1.0239928132346778,1.1597149382209793,1.1509892018942964,1.141582634821452,0.7506297937489734,1.27064821855447,False,False,False,False,False,False,623.61163,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,3300,3500,Herpesvirus:Herpes_Simplex_1_KOS:67:+,0,+,0.905407756366316,0.937099507685237,1.150611478798492,1.1509535830194022,0.8104137036680779,1.3868829472655986,False,False,False,False,False,False,647.01746,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,3350,3550,Herpesvirus:Herpes_Simplex_1_KOS:68:+,0,+,0.8957185339662022,0.714369035055797,0.8015134184633163,0.8899777295922663,0.4935644959279448,0.8200143530097073,False,False,False,False,False,False,637.9187,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,3400,3600,Herpesvirus:Herpes_Simplex_1_KOS:69:+,0,+,0.9175741853395972,0.8764075507252462,0.9652115603313984,0.8606579708896349,0.838449774546234,1.0239869441742415,False,False,False,False,False,False,637.54224,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,3450,3650,Herpesvirus:Herpes_Simplex_1_KOS:70:+,0,+,0.7116727477313318,0.9626471486473428,0.8335971825803847,0.9276492501102208,0.8708497987733201,1.0775228847427774,False,False,False,False,False,False,565.4109,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,3500,3700,Herpesvirus:Herpes_Simplex_1_KOS:71:+,0,+,1.2865222659222986,1.0792453703705414,0.9745143444541744,1.1188435195653297,0.998471493528887,0.9813129526071076,False,False,False,False,False,False,455.50388,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,3550,3750,Herpesvirus:Herpes_Simplex_1_KOS:72:+,0,+,0.8771063029256398,1.0130523446592543,1.220578682654636,1.28988235557531,1.172256164530956,1.29884751056229,False,False,False,False,False,False,357.89597,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,3650,3850,Herpesvirus:Herpes_Simplex_1_KOS:74:+,0,+,1.2144988950457212,2.917746510747961,1.3242872706739954,2.287705221493366,2.908311001421773,3.4414345713748986,False,True,False,True,True,True,189.06648,Neither,Active only,Neither,Active only,Active only,Active only
KT899744.1,3700,3900,Herpesvirus:Herpes_Simplex_1_KOS:75:+,0,+,1.412184371381181,2.6043725386560177,1.7332446270691435,2.1540794326984067,2.9947277668790804,3.563315985418536,False,True,False,True,True,True,183.70137,Neither,Active only,Neither,Active only,Active only,Active only
KT899744.1,4800,5000,Herpesvirus:Herpes_Simplex_1_KOS:97:+,0,+,3.8163040413535545,4.874526349516469,8.319483570550563,7.258418198583994,6.604919092864053,7.465739738872013,True,True,True,True,True,True,440.5064,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,4850,5050,Herpesvirus:Herpes_Simplex_1_KOS:98:+,0,+,2.571793734280396,3.6109706350265873,5.944580174325783,5.049660305003791,5.755391419233164,6.820093026571885,True,True,True,True,True,True,439.78473,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,4900,5100,Herpesvirus:Herpes_Simplex_1_KOS:99:+,0,+,2.0364684727976003,3.201455503276124,4.275022086013646,3.558689784550304,3.8571056955370095,5.391650984314708,True,True,True,True,True,True,466.7988,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,4950,5150,Herpesvirus:Herpes_Simplex_1_KOS:100:+,0,+,2.1547068076026923,2.6429453142315973,3.883068812754967,3.0607791467228576,3.8970131107400494,4.82167978211687,True,True,True,True,True,True,503.53906,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,5000,5200,Herpesvirus:Herpes_Simplex_1_KOS:101:+,0,+,2.066920449406912,2.185166447478788,4.275354715770634,3.6377999708604656,3.876335874934932,4.537808073050897,True,True,True,True,True,True,534.5065,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,5050,5250,Herpesvirus:Herpes_Simplex_1_KOS:102:+,0,+,1.4073743141353696,1.1764731700164388,1.201734713403307,1.4561071352863864,1.152746137920103,1.111473262304658,False,False,False,False,False,False,528.2942,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,5100,5300,Herpesvirus:Herpes_Simplex_1_KOS:103:+,0,+,1.303734325734899,1.5580736431208313,2.184766959505001,2.199248123839906,1.8580008697928485,2.714781181555619,False,False,True,True,False,True,505.5158,Neither,Neither,Active only,Active only,Neither,Active only
KT899744.1,5150,5350,Herpesvirus:Herpes_Simplex_1_KOS:104:+,0,+,1.6546102886844778,1.8578951074960148,2.714105671029297,2.7524089354238352,1.8610526889043384,3.287016465559612,True,True,True,True,False,True,504.63733,Active only,Active only,Active only,Active only,Neither,Active only
KT899744.1,5200,5400,Herpesvirus:Herpes_Simplex_1_KOS:105:+,0,+,1.028758518912755,1.7437269391404615,2.2685410113852766,2.6278420504338538,1.9343191018454544,2.893895680797716,False,True,True,True,False,True,512.0418,Neither,Active only,Active only,Active only,Neither,Active only
KT899744.1,5250,5450,Herpesvirus:Herpes_Simplex_1_KOS:106:+,0,+,1.7885127240745724,1.798126108429574,2.506105402853093,2.516684358789285,1.8191666785700105,3.1347720389464886,True,True,True,True,False,True,527.32153,Active only,Active only,Active only,Active only,Neither,Active only
KT899744.1,5300,5500,Herpesvirus:Herpes_Simplex_1_KOS:107:+,0,+,1.0099023386065598,1.0640641827168609,1.3125805428094015,1.2906728050325966,0.9202817473751276,1.7562104312746925,False,False,False,False,False,False,532.7181,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,5350,5550,Herpesvirus:Herpes_Simplex_1_KOS:108:+,0,+,1.2476967611159928,1.333380671939934,1.2936502933017855,1.5820557982701322,1.536998476791926,1.84889752236226,False,False,False,False,False,False,531.7455,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,5400,5600,Herpesvirus:Herpes_Simplex_1_KOS:109:+,0,+,2.0634668404061527,3.1143493612087285,2.3495601729720046,2.752359733287342,3.9294130057956713,3.223959554209284,True,True,True,True,True,True,517.6895,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,5450,5650,Herpesvirus:Herpes_Simplex_1_KOS:110:+,0,+,2.277992227899068,3.341503960352344,2.1964808456573066,2.8457823932980384,3.352564097212176,2.8794276421706586,True,True,True,True,True,True,517.12476,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,5500,5700,Herpesvirus:Herpes_Simplex_1_KOS:111:+,0,+,1.8064093224604467,2.05115263596236,1.2820508469048733,1.7391521506451573,1.819165859335769,1.9344685373841848,True,True,False,False,False,False,520.0111,Active only,Active only,Neither,Neither,Neither,Neither
KT899744.1,5550,5750,Herpesvirus:Herpes_Simplex_1_KOS:112:+,0,+,1.3648281384090897,0.8966578154460896,0.9443077111230572,1.2840901803584512,0.6964892430896923,1.5787114409353218,False,False,False,False,False,False,404.01733,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,5750,5950,Herpesvirus:Herpes_Simplex_1_KOS:116:+,0,+,1.5878484846349603,0.8919133701280455,0.7424979910858807,0.8867579832144906,0.7037311677001814,1.065943789729171,False,False,False,False,False,False,203.46762,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,5800,6000,Herpesvirus:Herpes_Simplex_1_KOS:117:+,0,+,0.8288882891069217,0.8077892455809214,1.2935526365984409,1.5083643189596492,1.2223936649188427,2.4662063783498867,False,False,False,False,False,False,297.31055,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,5850,6050,Herpesvirus:Herpes_Simplex_1_KOS:118:+,0,+,1.177655895148225,0.786524999500422,1.304493650738756,1.51832302160606,1.3670046058651124,2.6174039974114267,False,False,False,False,False,True,337.12567,Neither,Neither,Neither,Neither,Neither,Active only
KT899744.1,5900,6100,Herpesvirus:Herpes_Simplex_1_KOS:119:+,0,+,0.887421672785022,1.0166314248905284,1.3251299308019635,1.770064539470201,1.630706746020588,3.2542117833320865,False,False,False,False,False,True,327.3053,Neither,Neither,Neither,Neither,Neither,Active only
KT899744.1,5950,6150,Herpesvirus:Herpes_Simplex_1_KOS:120:+,0,+,1.3373050135301938,1.1667404064241251,1.4901942342279515,1.9239947428487505,1.8472932033102625,2.4327126290187566,False,False,False,False,False,False,269.73196,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,6050,6250,Herpesvirus:Herpes_Simplex_1_KOS:122:+,0,+,1.8417152890941468,2.091898782130927,1.719766726557459,2.283114329939333,2.291098456429221,2.693672362582383,True,True,False,True,True,True,303.58563,Active only,Active only,Neither,Active only,Active only,Active only
KT899744.1,6100,6300,Herpesvirus:Herpes_Simplex_1_KOS:123:+,0,+,1.410247080756342,1.5735957790499076,1.3342572816623115,1.997592188632771,1.2132962439543018,2.098136338307328,False,False,False,False,False,False,345.6282,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,6150,6350,Herpesvirus:Herpes_Simplex_1_KOS:124:+,0,+,2.025023480346314,1.8147687114519129,1.7517666752504768,2.5398022314363744,2.3449749055932165,3.003599054892631,True,True,False,True,True,True,364.61008,Active only,Active only,Neither,Active only,Active only,Active only
KT899744.1,6200,6400,Herpesvirus:Herpes_Simplex_1_KOS:125:+,0,+,1.0767325421244698,1.5286746908788755,1.4155578330151728,1.8747758272246016,1.4956584232052932,1.4663318296858925,False,False,False,False,False,False,355.04065,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,6250,6450,Herpesvirus:Herpes_Simplex_1_KOS:126:+,0,+,1.497559488686652,1.0694190019700225,1.0658417446685338,1.434415898822502,1.0316562877663469,1.2297496137614286,False,False,False,False,False,False,295.93,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,6550,6750,Herpesvirus:Herpes_Simplex_1_KOS:132:+,0,+,1.098368649215855,0.7984793860374757,1.0318444651039618,1.190388040505278,0.9571740553728671,1.152132217333509,False,False,False,False,False,False,426.35632,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,6650,6850,Herpesvirus:Herpes_Simplex_1_KOS:134:+,0,+,0.8730016903780612,1.16294499212869,1.172730451204406,1.4042948307163277,1.7430926422347617,3.1578410300159616,False,False,False,False,False,True,511.4456,Neither,Neither,Neither,Neither,Neither,Active only
KT899744.1,6700,6900,Herpesvirus:Herpes_Simplex_1_KOS:135:+,0,+,0.97484843808341,0.9346428884131358,0.8766252591548791,0.9605023816901048,1.05239234970355,1.5906877464648814,False,False,False,False,False,False,483.8669,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,6750,6950,Herpesvirus:Herpes_Simplex_1_KOS:136:+,0,+,0.9253551111011116,1.3776947334072789,0.9419371579611088,1.093525007776694,1.1959419683177397,2.0113883274590405,False,False,False,False,False,False,468.68134,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,6850,7050,Herpesvirus:Herpes_Simplex_1_KOS:138:+,0,+,1.2094144946990684,1.6887585746638225,1.2437178836816207,1.7899479773155689,1.1495029613689547,2.055548996630058,False,True,False,False,False,False,317.8613,Neither,Active only,Neither,Neither,Neither,Neither
KT899744.1,7300,7500,Herpesvirus:Herpes_Simplex_1_KOS:147:+,0,+,1.4933562795305115,1.0612476047340014,2.5948083597997944,1.0907114791182828,1.0148396034522176,1.19926900589047,False,False,True,False,False,False,569.58374,Neither,Neither,Active only,Neither,Neither,Neither
KT899744.1,7350,7550,Herpesvirus:Herpes_Simplex_1_KOS:148:+,0,+,2.3144953592488,1.072649470686418,2.9098270689492085,1.4975282485322436,1.2593619479307336,1.7357663276409503,True,False,True,False,False,False,547.1505,Active only,Neither,Active only,Neither,Neither,Neither
KT899744.1,7400,7600,Herpesvirus:Herpes_Simplex_1_KOS:149:+,0,+,1.6067777539694466,1.3185303629743048,2.029275189999783,1.5819014045127062,1.263834228267231,2.176060144470834,False,False,True,False,False,False,554.4295,Neither,Neither,Active only,Neither,Neither,Neither
KT899744.1,7500,7700,Herpesvirus:Herpes_Simplex_1_KOS:151:+,0,+,2.212038280816624,2.317068186922627,5.112324914563002,4.499651814051594,4.186592071452647,5.309121041771795,True,True,True,True,True,True,620.8819,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,7550,7750,Herpesvirus:Herpes_Simplex_1_KOS:152:+,0,+,1.8982045789145563,2.220081068963778,4.303933986651686,4.2326765819368735,3.826544541043108,4.417043803520884,True,True,True,True,True,True,663.77167,Active & Accessible,Active & Accessible,Active & Accessible,Active & Accessible,Active & Accessible,Active & Accessible
KT899744.1,7600,7800,Herpesvirus:Herpes_Simplex_1_KOS:153:+,0,+,1.6457013734844768,2.247005753756316,4.039166078819788,3.889593983900727,3.620767321147802,4.244186120096314,True,True,True,True,True,True,608.83386,Active only,Active only,Active only,Active only,Active only,Active only
KT899744.1,7650,7850,Herpesvirus:Herpes_Simplex_1_KOS:154:+,0,+,1.2234993231955666,1.396537215912329,1.913510036684328,2.013298924800377,1.7275461907470986,3.461618906363217,False,False,True,True,False,True,549.22125,Neither,Neither,Active only,Active only,Neither,Active only
KT899744.1,7700,7900,Herpesvirus:Herpes_Simplex_1_KOS:155:+,0,+,1.1426647313150462,2.462192160847376,3.996820450192348,3.275185669988565,3.279038545058641,5.308886753931507,False,True,True,True,True,True,494.0326,Neither,Active only,Active only,Active only,Active only,Active only
KT899744.1,7800,8000,Herpesvirus:Herpes_Simplex_1_KOS:157:+,0,+,0.5007913011485698,1.3367585342487642,3.070769926613444,2.502205115210104,2.931519697255615,5.114685409394572,False,False,True,True,True,True,356.7665,Neither,Neither,Active only,Active only,Active only,Active only
KT899744.1,7850,8050,Herpesvirus:Herpes_Simplex_1_KOS:158:+,0,+,0.7123814418414085,0.9978637856111002,1.0143891113190937,1.5651879979918175,1.772583722970914,1.7335652389046334,False,False,False,False,False,False,343.58887,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,7900,8100,Herpesvirus:Herpes_Simplex_1_KOS:159:+,0,+,0.8951725418182722,1.2759431944274224,1.1830475114999548,1.376873540954075,1.5773518468243326,1.716695816359998,False,False,False,False,False,False,301.42062,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,7950,8150,Herpesvirus:Herpes_Simplex_1_KOS:160:+,0,+,0.9177940615089092,1.6407238386519034,1.2780610087859543,1.4891916831170091,1.7741268997773672,1.8141702978596828,False,False,False,False,False,False,257.93475,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,8000,8200,Herpesvirus:Herpes_Simplex_1_KOS:161:+,0,+,1.0063991596907007,1.5625491037344026,1.572489803308062,1.956700844449596,2.158088792761281,2.016281853705401,False,False,False,False,True,False,241.58817,Neither,Neither,Neither,Neither,Active only,Neither
KT899744.1,8100,8300,Herpesvirus:Herpes_Simplex_1_KOS:163:+,0,+,0.9493924988705515,1.2599979165383886,1.3193130185891746,1.6756156509294025,1.899836143784409,1.6732979256734706,False,False,False,False,False,False,207.70312,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,8150,8350,Herpesvirus:Herpes_Simplex_1_KOS:164:+,0,+,1.2787536373583392,1.3499608496676283,1.2421096280237989,1.5977990947245144,1.5407725560050145,2.152278905286294,False,False,False,False,False,False,238.10559,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,8200,8400,Herpesvirus:Herpes_Simplex_1_KOS:165:+,0,+,1.320635445286198,1.2534263297641937,1.3850467827240072,1.9497955218093472,1.6149220138262106,1.4875092935643424,False,False,False,False,False,False,299.5067,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,8250,8450,Herpesvirus:Herpes_Simplex_1_KOS:166:+,0,+,1.226053143833734,1.272568276434733,1.450310346968004,1.676427434297216,1.482583372189996,1.4611514080287376,False,False,False,False,False,False,294.51813,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,8300,8500,Herpesvirus:Herpes_Simplex_1_KOS:167:+,0,+,1.010857218225564,1.110081327085149,1.1649705326629194,1.2941080602009745,1.0044527997607409,2.737155356994168,False,False,False,False,False,True,285.388,Neither,Neither,Neither,Neither,Neither,Active only
KT899744.1,8350,8550,Herpesvirus:Herpes_Simplex_1_KOS:168:+,0,+,0.8744800360270646,0.965821931923008,1.1933806508060325,1.2488697620200508,0.822925234952584,1.1150752579679095,False,False,False,False,False,False,262.20178,Neither,Neither,Neither,Neither,Neither,Neither
KT899744.1,8600,8800,Herpesvirus:Herpes_Simplex_1_KOS:173:+,0,+,1.2102669606418337,1.1918169271402408,1.657377047072332,2.1427556303588142,2.651512542520854,3.574865642586581,False,False,False,True,True,True,154.77348,Neither,Neither,Neither,Active only,Active only,Active only
